Institute ID,Name,City,State,Score,Rank
IR-E-U-0455,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Chennai,Tamil Nadu,34.93,184
IR-E-C-18254,Yeshwantrao Chavan College of Engineering,Nagpur,Maharashtra,34.88,185
IR-E-U-0513,G. L. A. University,Mathura,Uttar Pradesh,34.74,186
IR-E-C-46111,KIET Group of Institutions,Ghaziabad,Uttar Pradesh,34.73,187
IR-E-C-17958,GMR Institute of Technology,Rajam,Andhra Pradesh,34.71,188
IR-E-U-0217,Christ University,Bengaluru,Karnataka,34.64,189
IR-E-U-0765,Institute of Infrastructure Technology Research and Management (IITRAM),Ahmedabad,Gujarat,34.41,190
IR-E-U-0168,Maharishi Markandeshwar,Ambala,Haryana,34.37,191
IR-E-N-13,Galgotias College of Engineering & Technology,Greater Noida,Uttar Pradesh,34.29,192
IR-E-C-42227,Dr. D. Y. Patil Institute of Technology,Pune,Maharashtra,34.10,193
IR-E-U-0622,National Institute of Technology Delhi,Delhi,Delhi,33.96,194
IR-E-C-46239,G. L. Bajaj Institute of Technology and Management,Greater Noida,Uttar Pradesh,33.95,195
IR-E-U-0854,KLE Technological University,Dharwad,Karnataka,33.90,196
IR-E-C-33777,Shri Vile Parle Kelavani Mandal`s Dwarkadas J. Sanghvi College of Engineering,Mumbai Suburban,Maharashtra,33.88,197
IR-E-C-16504,Sri Venkateswara College of Engineering and Technology,Chittoor,Andhra Pradesh,33.77,198
IR-E-C-1336,BMS Institute of Technology & Management,Bengaluru,Karnataka,33.76,199
IR-E-C-19582,Vidya Jyothi Institute of Technology,Hyderabad,Telangana,33.70,200
